designation,is_welded,is_angle,h,b,tw,tf,r,d,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,IW,Sw_w,Av_y,Av_z,iy,iz,ys,ym
UPE 80,0,0,80.0,50.0,4.0,7.0,10.0,46.0,0.00101,1.072e-06,2.68e-05,3.123e-05,2.541e-07,7.98e-06,1.428e-05,1.47e-08,2.2e-10,1.4157360000000005e-07,0.0007,0.000405,32.599999999999994,15.9,18.2,37.1
UPE 100,0,0,100.0,55.0,4.5,7.5,10.0,65.0,0.00125,2.069e-06,4.137e-05,4.801e-05,3.821e-07,1.0630000000000002e-05,1.934e-05,2.01e-08,5.3e-10,2.416518750000001e-07,0.000825,0.000534,40.7,17.5,19.1,39.3
UPE 120,0,0,120.0,60.0,5.0,8.0,12.0,80.0,0.00154,3.635e-06,6.058e-05,7.033e-05,5.54e-07,1.3789999999999998e-05,2.528e-05,2.9e-08,1.12e-09,3.878496000000001e-07,0.0009599999999999,0.000718,48.6,19.0,19.8,41.2
UPE 140,0,0,140.0,65.0,5.0,9.0,12.0,98.0,0.0018399999999999,5.995e-06,8.564e-05,9.884e-05,7.87e-07,1.819e-05,3.322e-05,4.05e-08,2.2000000000000003e-09,5.905903499999999e-07,0.00117,0.000825,57.1,20.7,21.7,45.4
UPE 160,0,0,160.0,70.0,5.5,9.5,12.0,117.0,0.00217,9.111e-06,0.0001139,0.0001316,1.068e-06,2.258e-05,4.149e-05,5.2e-08,3.9599999999999996e-09,8.501702000000001e-07,0.00133,0.001004,64.8,22.2,22.7,47.6
UPE 180,0,0,180.0,75.0,5.5,10.5,12.0,135.0,0.00251,1.353e-05,0.0001504,0.000173,1.437e-06,2.856e-05,5.23e-05,6.99e-08,6.8099999999999994e-09,1.1954675250000005e-06,0.001575,0.00112,73.39999999999999,23.9,24.7,51.9
UPE 200,0,0,200.0,80.0,6.0,11.0,13.0,152.0,0.0029,1.909e-05,0.0001909,0.0002200999999999,1.873e-06,3.443e-05,6.328e-05,8.890000000000002e-08,1.1e-08,1.6276480000000006e-06,0.00176,0.00135,81.1,25.4,25.6,54.1
UPE 220,0,0,220.0,85.0,6.5,12.0,13.0,170.0,0.00339,2.682e-05,0.0002439,0.0002815,2.464e-06,4.251e-05,7.825e-05,1.205e-07,1.761e-08,2.2202400000000006e-06,0.00204,0.001581,89.0,27.0,27.0,57.0
UPE 240,0,0,240.0,90.0,7.0,12.5,15.0,185.0,0.00385,3.599e-05,0.0002998999999999,0.0003469,3.109e-06,5.008e-05,9.218e-05,1.514e-07,2.642e-08,2.8923074999999995e-06,0.00225,0.001877,96.7,28.4,27.9,59.1
UPE 270,0,0,270.0,95.0,7.5,13.5,15.0,213.0,0.00448,5.255e-05,0.0003892,0.0004511,4.01e-06,6.069e-05,0.0001115999999999,1.991e-07,4.355e-08,3.9814426125e-06,0.002565,0.002223,108.3,29.9,28.9,61.39999999999999
