designation,is_welded,h,b,tw,tf,r,d,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,IW,Sw,Av_y,Av_z
IPE 80 A,0,78.0,46.0,3.3,4.2,5.0,59.6,0.000638,6.438e-07,1.651e-05,1.898e-05,6.85e-08,2.98e-06,4.69e-06,4.1999999999999996e-09,9e-11,4.099221e-08,0.0003864,0.000307
IPE 80,0,80.0,46.0,3.8,5.2,5.0,59.6,0.000764,8.014000000000001e-07,2.003e-05,2.322e-05,8.49e-08,3.69e-06,5.82e-06,7e-09,1.2e-10,5.1439959999999997e-08,0.0004784,0.000358
IPE A 100,0,98.0,55.0,3.6,4.7,7.0,74.6,0.0008779999999999,1.412e-06,2.881e-05,3.297999999999999e-05,1.3119999999999998e-07,4.769999999999999e-06,7.54e-06,7.700000000000001e-09,2.8000000000000007e-10,8.2905796875e-08,0.000517,0.000444
IPE 100,0,100.0,55.0,4.1,5.7,7.0,74.6,0.00103,1.71e-06,3.4200000000000005e-05,3.941e-05,1.592e-07,5.79e-06,9.15e-06,1.2e-08,3.5e-10,1.01622984375e-07,0.000627,0.000508
IPE A 120,0,117.6,64.0,3.8,5.1,7.0,93.4,0.0011,2.574e-06,4.377e-05,4.987e-05,2.239e-07,7e-06,1.098e-05,1.04e-08,7.1e-10,1.4687999999999998e-07,0.0006527999999999,0.000541
IPE 120,0,120.0,64.0,4.4,6.3,7.0,93.4,0.00132,3.1780000000000003e-06,5.296e-05,6.073e-05,2.767000000000001e-07,8.65e-06,1.358e-05,1.74e-08,8.9e-10,1.8337536000000002e-07,0.0008064,0.0006309999999999
IPE A 140,0,137.4,73.0,3.8,5.6,7.0,112.2,0.00134,4.349e-06,6.33e-05,7.159999999999999e-05,3.642000000000001e-07,9.98e-06,1.552e-05,1.3600000000000001e-08,1.58e-09,2.4582677e-07,0.0008175999999999,0.000621
IPE 140,0,140.0,73.0,4.7,6.9,7.0,112.2,0.0016399999999999,5.412000000000001e-06,7.731999999999998e-05,8.834e-05,4.492e-07,1.231e-05,1.925e-05,2.45e-08,1.98e-09,3.05881269375e-07,0.0010074,0.000764
IPE A 160,0,157.0,82.0,4.0,5.9,9.0,127.2,0.00162,6.893e-06,8.781e-05,9.909e-05,5.443e-07,1.3269999999999998e-05,2.07e-05,1.96e-08,3.09e-09,3.7464867250000004e-07,0.0009676,0.00078
IPE 160,0,160.0,82.0,5.0,7.4,9.0,127.2,0.00201,8.693e-06,0.0001087,0.0001239,6.831000000000001e-07,1.666e-05,2.61e-05,3.6000000000000005e-08,3.96e-09,4.745631100000001e-07,0.0012136,0.000966
IPE A 180,0,177.0,91.0,4.3,6.5,9.0,146.0,0.00196,1.063e-05,0.0001200999999999,0.0001353,8.189e-07,1.8e-05,2.796e-05,2.7000000000000004e-08,5.93e-09,5.73588640625e-07,0.001183,0.0009199999999999
IPE 180,0,180.0,91.0,5.3,8.0,9.0,146.0,0.00239,1.317e-05,0.0001463,0.0001664,1.009e-06,2.216e-05,3.46e-05,4.79e-08,7.43e-09,7.12166e-07,0.001456,0.001125
IPE O 180,0,182.0,92.0,6.0,9.0,9.0,146.0,0.00271,1.505e-05,0.0001654,0.0001891,1.173e-06,2.55e-05,3.991e-05,6.76e-08,8.740000000000001e-09,8.236529999999999e-07,0.001656,0.00127
IPE A 200,0,197.0,100.0,4.5,7.0,12.0,159.0,0.00235,1.5910000000000002e-05,0.0001616,0.0001816999999999,1.172e-06,2.343e-05,3.654e-05,4.11e-08,1.053e-08,8.312500000000002e-07,0.0014,0.001147
IPE 200,0,200.0,100.0,5.6,8.5,12.0,159.0,0.00285,1.943e-05,0.0001943,0.0002206,1.424e-06,2.847e-05,4.461e-05,6.98e-08,1.2990000000000001e-08,1.0173437500000005e-06,0.0017,0.0014
IPE O 200,0,202.0,102.0,6.2,9.5,12.0,159.0,0.0032,2.211e-05,0.0002189,0.0002494,1.689e-06,3.311e-05,5.189e-05,9.45e-08,1.557e-08,1.1891446874999995e-06,0.001938,0.001545
IPE A 220,0,217.0,110.0,5.0,7.7,12.0,177.6,0.00283,2.317e-05,0.0002134999999999,0.0002401999999999,1.714e-06,3.117e-05,4.849e-05,5.6900000000000007e-08,1.8710000000000003e-08,1.2187800625e-06,0.001694,0.001355
IPE 220,0,220.0,110.0,5.9,9.2,12.0,177.6,0.00334,2.772e-05,0.000252,0.0002853999999999,2.049e-06,3.725e-05,5.811e-05,9.07e-08,2.2670000000000004e-08,1.4666409999999995e-06,0.002024,0.001588
IPE O 220,0,222.0,112.0,6.6,10.2,12.0,177.6,0.00374,3.134e-05,0.0002823,0.0003211,2.398e-06,4.283e-05,6.691e-05,1.227e-07,2.679e-08,1.6937222399999998e-06,0.0022847999999999,0.001766
IPE A 240,0,237.0,120.0,5.2,8.3,15.0,190.4,0.0033299999999999,3.29e-05,0.0002777,0.0003116,2.401e-06,4.002e-05,6.24e-05,8.35e-08,3.126e-08,1.708389e-06,0.001992,0.0016309999999999
IPE 240,0,240.0,120.0,6.2,9.8,15.0,190.4,0.00391,3.892e-05,0.0003243,0.0003666,2.8360000000000005e-06,4.727e-05,7.392e-05,1.2880000000000004e-07,3.7390000000000006e-08,2.0303640000000004e-06,0.002352,0.001914
IPE O 240,0,242.0,122.0,7.0,10.8,15.0,190.4,0.00437,4.369e-05,0.0003611,0.0004103,3.285e-06,5.386e-05,8.44e-05,1.718e-07,4.368000000000001e-08,2.3227970400000003e-06,0.0026352,0.002136
IPE A 270,0,267.0,135.0,5.5,8.7,15.0,219.6,0.00392,4.917e-05,0.0003683,0.0004125,3.58e-06,5.303e-05,8.234e-05,1.0300000000000001e-07,5.951e-08,2.559712640625e-06,0.002349,0.001875
IPE 270,0,270.0,135.0,6.6,10.2,15.0,219.6,0.00459,5.79e-05,0.0004288999999999,0.000484,4.199e-06,6.22e-05,9.695e-05,1.594e-07,7.058e-08,3.0184700624999998e-06,0.002754,0.002214
IPE O 270,0,274.0,136.0,7.5,12.2,15.0,219.6,0.00538,6.947e-05,0.0005071,0.0005746,5.135e-06,7.551e-05,0.0001177,2.49e-07,8.764000000000002e-08,3.69221776e-06,0.0033184,0.002523
IPE A 300,0,297.0,150.0,6.1,9.2,15.0,248.6,0.00465,7.173e-05,0.0004831,0.0005417999999999,5.19e-06,6.92e-05,0.0001072999999999,1.343e-07,1.0720000000000001e-07,3.7234125e-06,0.00276,0.002225
IPE 300,0,300.0,150.0,7.1,10.7,15.0,248.6,0.00538,8.356e-05,0.0005571,0.0006284,6.038e-06,8.049999999999999e-05,0.0001252,2.012e-07,1.259e-07,4.353060937499999e-06,0.0032099999999999,0.002568
IPE O 300,0,304.0,152.0,8.0,12.7,15.0,248.6,0.00628,9.994e-05,0.0006575,0.0007438,7.457000000000001e-06,9.812e-05,0.0001526,3.106e-07,1.577e-07,5.34209244e-06,0.0038607999999999,0.002905
IPE A 330,0,327.0,160.0,6.5,10.0,18.0,271.0,0.00547,0.0001023,0.0006257,0.0007019,6.852000000000001e-06,8.564e-05,0.0001333,1.957e-07,1.7150000000000005e-07,5.072000000000001e-06,0.0032,0.002699
IPE 330,0,330.0,160.0,7.5,11.5,18.0,271.0,0.00626,0.0001177,0.0007131,0.0008042999999999,7.881e-06,9.852e-05,0.0001536999999999,2.815e-07,1.991e-07,5.8604e-06,0.00368,0.003081
IPE O 330,0,334.0,162.0,8.5,13.5,18.0,271.0,0.0072599999999999,0.0001391,0.000833,0.0009427999999999,9.604e-06,0.0001185999999999,0.000185,4.215e-07,2.457e-07,7.0969516875e-06,0.004374,0.003488
IPE A 360,0,357.6,170.0,6.6,11.5,18.0,298.6,0.0064,0.0001452,0.0008117999999999,0.0009067999999999,9.443e-06,0.0001110999999999,0.0001719,2.651e-07,2.82e-07,7.1891459375000014e-06,0.00391,0.002976
IPE 360,0,360.0,170.0,8.0,12.7,18.0,298.6,0.00727,0.0001627,0.0009036,0.001019,1.043e-05,0.0001228,0.0001910999999999,3.7320000000000003e-07,3.136000000000001e-07,7.966844937500001e-06,0.004318,0.003514
IPE O 360,0,364.0,172.0,9.2,14.7,18.0,298.6,0.00841,0.0001905,0.001047,0.001186,1.251e-05,0.0001454999999999,0.0002268999999999,5.576e-07,3.8030000000000004e-07,9.494078789999996e-06,0.0050567999999999,0.004021
IPE A 400,0,397.0,180.0,7.0,12.0,21.0,331.0,0.0073099999999999,0.0002029,0.001022,0.001144,1.171e-05,0.0001301,0.0002020999999999,3.479e-07,4.322e-07,9.3555e-06,0.00432,0.003578
IPE 400,0,400.0,180.0,8.6,13.5,21.0,331.0,0.00845,0.0002313,0.001156,0.001307,1.318e-05,0.0001464,0.0002289999999999,5.107999999999999e-07,4.900000000000001e-07,1.056594375e-05,0.00486,0.004269
IPE O 400,0,404.0,182.0,9.7,15.5,21.0,331.0,0.00964,0.0002675,0.0013239999999999,0.0015019999999999,1.564e-05,0.0001719,0.0002691,7.31e-07,5.876000000000001e-07,1.24665279375e-05,0.0056419999999999,0.004798
IPE A 450,0,447.0,190.0,7.6,13.1,21.0,378.8,0.00856,0.0002976,0.001331,0.0014939999999999,1.502e-05,0.0001581,0.0002456999999999,4.567e-07,7.049e-07,1.28247280625e-05,0.004978,0.004226
IPE 450,0,450.0,190.0,9.4,14.6,21.0,378.8,0.00988,0.0003374,0.0015,0.001702,1.676e-05,0.0001764,0.0002763999999999,6.687e-07,7.91e-07,1.434262025e-05,0.005548,0.005085
IPE O 450,0,456.0,192.0,11.0,17.6,21.0,378.8,0.0118,0.0004092,0.001795,0.002046,2.085e-05,0.0002171999999999,0.000341,1.09e-06,9.976e-07,1.777729536e-05,0.0067584,0.00594
IPE A 500,0,497.0,200.0,8.4,14.5,21.0,426.0,0.0101,0.0004293,0.001728,0.0019459999999999,1.939e-05,0.0001939,0.0003016,6.278e-07,1.125e-06,1.7490625000000007e-05,0.0058,0.0050409999999999
IPE 500,0,500.0,200.0,10.2,16.0,21.0,426.0,0.0116,0.000482,0.0019279999999999,0.0021939999999999,2.142e-05,0.0002141999999999,0.0003359,8.929000000000001e-07,1.249e-06,1.9360000000000008e-05,0.0064,0.005987
IPE O 500,0,506.0,202.0,12.0,19.0,21.0,426.0,0.0137,0.0005778,0.002284,0.002613,2.622e-05,0.0002596,0.0004084999999999,1.435e-06,1.548e-06,2.3597463250000007e-05,0.007676,0.0070209999999999
IPE A 550,0,547.0,210.0,9.0,15.7,24.0,467.6,0.0117,0.0005998,0.002193,0.0024749999999999,2.432e-05,0.0002316,0.0003615,8.653e-07,1.71e-06,2.29910113125e-05,0.0065939999999999,0.00603
IPE 550,0,550.0,210.0,11.1,17.2,24.0,467.6,0.0134,0.0006712,0.002441,0.002787,2.668e-05,0.0002541,0.0004005,1.232e-06,1.884e-06,2.5258716e-05,0.0072239999999999,0.007234
IPE O 550,0,556.0,212.0,12.7,20.2,24.0,467.6,0.0156,0.0007916,0.0028469999999999,0.003263,3.224e-05,0.0003041999999999,0.0004804999999999,1.875e-06,2.302e-06,3.040225644e-05,0.0085648,0.008269
IPE A 600,0,597.0,220.0,9.8,17.5,24.0,514.0,0.0137,0.0008292,0.002778,0.0031409999999999,3.116e-05,0.0002833,0.0004421,1.188e-06,2.607e-06,3.0677281250000006e-05,0.0077,0.007014
IPE 600,0,600.0,220.0,12.0,19.0,24.0,514.0,0.0156,0.0009208,0.0030689999999999,0.003512,3.387e-05,0.0003078999999999,0.0004856,1.6540000000000002e-06,2.8460000000000004e-06,3.3392975e-05,0.00836,0.008378
IPE O 600,0,610.0,224.0,15.0,24.0,24.0,514.0,0.0197,0.001183,0.0038789999999999,0.004471,4.521e-05,0.0004036,0.0006401,3.181e-06,3.86e-06,4.410470400000001e-05,0.010752,0.01044
IPE 750 x 137,0,753.0,263.0,11.5,17.0,17.0,685.0,0.0175,0.001599,0.004246,0.0048649999999999,5.166e-05,0.0003928,0.0006141,1.371e-06,6.98e-06,5.409015800000001e-05,0.008942,0.00929
IPE 750 x 147,0,753.0,265.0,13.2,17.0,17.0,685.0,0.0188,0.001661,0.004411,0.00511,5.289e-05,0.0003991999999999,0.0006307999999999,1.615e-06,7.141000000000001e-06,5.491595000000001e-05,0.00901,0.01054
IPE 750 x 173,0,762.0,267.0,14.4,21.6,17.0,684.8,0.0221,0.002058,0.005402,0.006218,6.873e-05,0.0005149,0.0008098999999999,2.736e-06,9.391e-06,7.125620706e-05,0.0115344,0.01164
IPE 750 x 196,0,770.0,268.0,15.6,25.4,17.0,685.2,0.0251,0.002403,0.006241,0.007174,8.175000000000001e-05,0.0006101,0.0009587999999999,4.089e-06,1.129e-05,8.489973876000001e-05,0.0136144,0.01273
IPN 80,0,80.0,42.0,3.9,5.9,3.9,59.0,0.000758,7.78e-07,1.95e-05,2.28e-05,6.29e-08,3e-06,5e-06,8.7e-09,9e-11,4.8200197500000016e-08,0.0004844236242611,0.000341
