designation,is_welded,is_circular,h,b,t,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,Av_y,Av_z
Tca 20 x 20 x 1.5,0,0,20.0,20.0,1.5,0.000105,5.8e-09,5.8e-07,7.2e-07,5.8e-09,5.8e-07,7.2e-07,9.8e-09,5.250000000000001e-05,5.250000000000001e-05
Tca 20 x 20 x 2,0,0,20.0,20.0,2.0,0.000134,6.9e-09,6.9e-07,8.799999999999999e-07,6.9e-09,6.9e-07,8.799999999999999e-07,1.21e-08,6.7e-05,6.7e-05
Tca 25 x 25 x 2,0,0,25.0,25.0,2.0,0.000174,1.48e-08,1.1899999999999998e-06,1.47e-06,1.48e-08,1.1899999999999998e-06,1.47e-06,2.53e-08,8.7e-05,8.7e-05
Tca 25 x 25 x 2.5,0,0,25.0,25.0,2.5,0.0002089999999999,1.69e-08,1.35e-06,1.71e-06,1.69e-08,1.35e-06,1.71e-06,2.97e-08,0.0001044999999999,0.0001044999999999
Tca 25 x 25 x 3,0,0,25.0,25.0,3.0,0.000241,1.8400000000000006e-08,1.47e-06,1.91e-06,1.8400000000000006e-08,1.47e-06,1.91e-06,3.33e-08,0.0001205,0.0001205
Tca 30 x 30 x 1.5,0,0,30.0,30.0,1.5,0.000165,2.2000000000000002e-08,1.46e-06,1.74e-06,2.2000000000000002e-08,1.46e-06,1.74e-06,3.57e-08,8.249999999999999e-05,8.249999999999999e-05
Tca 30 x 30 x 2,0,0,30.0,30.0,2.0,0.000214,2.7200000000000002e-08,1.81e-06,2.21e-06,2.7200000000000002e-08,1.81e-06,2.21e-06,4.54e-08,0.000107,0.000107
Tca 30 x 30 x 2.5,0,0,30.0,30.0,2.5,0.000259,3.1600000000000005e-08,2.1e-06,2.61e-06,3.1600000000000005e-08,2.1e-06,2.61e-06,5.4000000000000014e-08,0.0001295,0.0001295
Tca 30 x 30 x 3,0,0,30.0,30.0,3.0,0.000301,3.5e-08,2.34e-06,2.96e-06,3.5e-08,2.34e-06,2.96e-06,6.15e-08,0.0001505,0.0001505
Tca 35 x 35 x 2,0,0,35.0,35.0,2.0,0.000254,4.51e-08,2.58e-06,3.09e-06,4.51e-08,2.58e-06,3.09e-06,7.410000000000002e-08,0.000127,0.000127
Tca 35 x 35 x 2.5,0,0,35.0,35.0,2.5,0.000309,5.2900000000000004e-08,3.02e-06,3.69e-06,5.2900000000000004e-08,3.02e-06,3.69e-06,8.890000000000002e-08,0.0001545,0.0001545
Tca 35 x 35 x 3,0,0,35.0,35.0,3.0,0.000361,5.9500000000000003e-08,3.4e-06,4.23e-06,5.9500000000000003e-08,3.4e-06,4.23e-06,1.02e-07,0.0001805,0.0001805
Tca 40 x 40 x 2,0,0,40.0,40.0,2.0,0.000294,6.94e-08,3.47e-06,4.129999999999999e-06,6.94e-08,3.47e-06,4.129999999999999e-06,1.128e-07,0.000147,0.000147
Tca 40 x 40 x 2.5,0,0,40.0,40.0,2.5,0.000359,8.210000000000001e-08,4.1100000000000005e-06,4.97e-06,8.210000000000001e-08,4.1100000000000005e-06,4.97e-06,1.361e-07,0.0001795,0.0001795
Tca 40 x 40 x 3,0,0,40.0,40.0,3.0,0.000421,9.32e-08,4.66e-06,5.72e-06,9.32e-08,4.66e-06,5.72e-06,1.575e-07,0.0002105,0.0002105
Tca 40 x 40 x 4,0,0,40.0,40.0,4.0,0.000535,1.108e-07,5.54e-06,7.01e-06,1.108e-07,5.54e-06,7.01e-06,1.9440000000000002e-07,0.0002675,0.0002675
Tca 40 x 40 x 5,0,0,40.0,40.0,5.0,0.000636,1.23e-07,6.13e-06,8.02e-06,1.23e-07,6.13e-06,8.02e-06,2.2300000000000002e-07,0.000318,0.000318
Tca 45 x 45 x 2,0,0,45.0,45.0,2.0,0.000334,1.01e-07,4.5e-06,5.32e-06,1.01e-07,4.5e-06,5.32e-06,1.6300000000000004e-07,0.000167,0.000167
Tca 45 x 45 x 2.5,0,0,45.0,45.0,2.5,0.000409,1.21e-07,5.36e-06,6.429999999999999e-06,1.21e-07,5.36e-06,6.429999999999999e-06,1.98e-07,0.0002045,0.0002045
Tca 45 x 45 x 3,0,0,45.0,45.0,3.0,0.000481,1.3800000000000004e-07,6.12e-06,7.44e-06,1.3800000000000004e-07,6.12e-06,7.44e-06,2.3e-07,0.0002404999999999,0.0002404999999999
Tca 45 x 45 x 4,0,0,45.0,45.0,4.0,0.000615,1.6600000000000006e-07,7.38e-06,9.22e-06,1.6600000000000006e-07,7.38e-06,9.22e-06,2.87e-07,0.0003075,0.0003075
Tca 50 x 50 x 2,0,0,50.0,50.0,2.0,0.000374,1.4150000000000004e-07,5.66e-06,6.66e-06,1.4150000000000004e-07,5.66e-06,6.66e-06,2.263e-07,0.000187,0.000187
Tca 50 x 50 x 2.5,0,0,50.0,50.0,2.5,0.000459,1.6940000000000002e-07,6.78e-06,8.07e-06,1.6940000000000002e-07,6.78e-06,8.07e-06,2.753000000000001e-07,0.0002295,0.0002295
Tca 50 x 50 x 3,0,0,50.0,50.0,3.0,0.000541,1.947e-07,7.79e-06,9.39e-06,1.947e-07,7.79e-06,9.39e-06,3.2130000000000005e-07,0.0002705,0.0002705
Tca 50 x 50 x 4,0,0,50.0,50.0,4.0,0.000695,2.374e-07,9.49e-06,1.173e-05,2.374e-07,9.49e-06,1.173e-05,4.0420000000000003e-07,0.0003475,0.0003475
Tca 50 x 50 x 5,0,0,50.0,50.0,5.0,0.0008359999999999,2.704e-07,1.082e-05,1.37e-05,2.704e-07,1.082e-05,1.37e-05,4.7460000000000003e-07,0.0004179999999999,0.0004179999999999
Tca 60 x 60 x 2,0,0,60.0,60.0,2.0,0.000454,2.514e-07,8.380000000000001e-06,9.79e-06,2.514e-07,8.380000000000001e-06,9.79e-06,3.979e-07,0.000227,0.000227
Tca 60 x 60 x 3,0,0,60.0,60.0,3.0,0.000661,3.513000000000001e-07,1.171e-05,1.395e-05,3.513000000000001e-07,1.171e-05,1.395e-05,5.709e-07,0.0003305,0.0003305
Tca 60 x 60 x 4,0,0,60.0,60.0,4.0,0.000855,4.355e-07,1.4519999999999998e-05,1.764e-05,4.355e-07,1.4519999999999998e-05,1.764e-05,7.264e-07,0.0004275,0.0004275
